Geo_GEOID,Geo_NAME,SE_T001_001,SE_T002_001,SE_T002_002,SE_T003_001,SE_T003_002,SE_T003_003,SE_T150_002,SE_T150_008,SE_T027_008,SE_T030_002,SE_T037_003,SE_T049_003,SE_T049_004,SE_T049_005,SE_T049_006,SE_T049_007,SE_T049_009,SE_T049_011,SE_T049_012,SE_T053_003,SE_T053_004,SE_T053_006,SE_T056_002,SE_T056_017,SE_T080_002,SE_T108_002,SE_T114_002,SE_T128_003,SE_T128_004,SE_T128_005,SE_T128_006,SE_T129_009,SE_T145_002,SE_T131_002,B07003013,B07003016,B10063002
05000US01001,"Autauga County, Alabama",55049,55049,92.60549,604.3885,594.4464,9.942108,4528,243,116,63,1437,1167,3396,742,2529,1613,1323,4410,1855,5144,1929,0,1254,484,515,9887,2300,19,64,13,116,544,4852,5039,1799,121,890
05000US01003,"Baldwin County, Alabama",199510,199510,125.4931,2027.312,1589.808,437.5042,13956,1264,547,485,5887,6777,8106,2642,13195,4295,6056,17174,9241,11077,9730,163,4530,3265,1419,32052,8071,198,180,268,943,1841,23255,19321,5937,904,2379
05000US01005,"Barbour County, Alabama",26614,26614,30.07652,904.5151,884.8762,19.63896,4824,75,24,34,1323,567,2015,256,1043,580,302,1777,618,1720,917,18,1326,47,207,2620,2553,34,19,0,188,229,3079,1751,279,67,409
05000US01007,"Bibb County, Alabama",22572,22572,36.25543,626.1688,622.5826,3.586107,3040,100,31,98,643,682,1766,128,850,556,355,1865,402,1425,552,28,601,55,474,2494,1236,40,9,0,44,104,1859,1277,179,36,530
05000US01009,"Blount County, Alabama",57704,57704,89.49037,650.6282,644.8068,5.821439,7882,129,66,131,1367,2056,3362,809,2417,1622,1034,4248,1112,2700,1458,107,1662,247,269,8442,3555,37,21,0,188,649,6388,4475,543,113,1083
05000US01011,"Bullock County, Alabama",10552,10552,16.94269,625.1435,622.8056,2.337857,2452,36,2,39,638,188,1077,34,441,154,101,656,232,700,417,0,652,43,148,861,1018,15,0,0,232,138,1702,407,132,30,196
05000US01013,"Butler County, Alabama",20280,20280,26.10615,777.8815,776.8284,1.053084,2642,105,61,115,849,582,1606,88,923,429,251,1691,628,1214,572,21,943,46,114,2414,1793,0,0,0,60,101,2357,1338,103,101,318
05000US01015,"Calhoun County, Alabama",115883,115883,191.2611,612.2863,605.8891,6.397164,13894,641,267,344,6218,2739,7926,1202,5706,2249,1932,10629,4445,9612,3744,36,4399,730,842,16314,7238,102,127,15,632,1295,12415,10323,2503,201,2187
05000US01017,"Chambers County, Alabama",34018,34018,57.02634,603.1137,596.5314,6.582318,4708,65,31,85,1136,651,3803,408,1735,454,550,2528,842,1711,806,2,1451,155,192,4757,2341,34,0,0,94,220,3979,2421,645,48,639
05000US01019,"Cherokee County, Alabama",25897,25897,46.76913,599.9776,553.7199,46.25766,3499,102,15,81,634,761,2307,187,1029,664,234,2539,624,1918,1038,23,992,134,160,3924,1172,54,6,0,59,205,2417,2260,387,52,453
05000US01021,"Chilton County, Alabama",43817,43817,63.24134,700.8022,692.8538,7.948419,5918,108,70,109,1520,2238,2366,449,2270,1376,1008,2831,881,2740,1508,73,1573,208,334,6263,3260,17,7,6,144,495,6875,3086,575,104,734
05000US01023,"Choctaw County, Alabama",13287,13287,14.54515,920.8592,913.5004,7.358817,1998,13,6,34,673,363,832,47,534,254,110,1071,124,626,247,17,746,70,32,1450,829,0,0,2,82,168,1516,928,192,13,326
05000US01025,"Clarke County, Alabama",24847,24847,20.06274,1252.574,1238.465,14.1092,3227,88,85,80,1681,487,1786,95,1261,589,321,1370,445,1015,560,3,1970,180,122,2437,1581,13,0,9,103,201,3255,1287,243,34,442
05000US01027,"Clay County, Alabama",13483,13483,22.32428,606.0016,603.9612,2.040385,2398,64,16,99,386,333,1869,33,557,224,249,878,306,786,592,0,491,97,141,1783,582,6,0,0,104,400,1705,1105,105,25,147
05000US01029,"Cleburne County, Alabama",14991,14991,26.76465,561.0137,560.1045,0.9092312,2676,66,19,43,450,710,1078,127,805,374,192,1094,422,830,535,0,627,52,102,2008,1064,1,0,0,20,383,2049,738,453,16,223
05000US01031,"Coffee County, Alabama",50991,50991,75.09875,680.4948,678.986,1.508839,5145,253,94,102,1410,1048,2696,344,2926,1443,769,4802,1804,4633,1811,32,1563,362,154,7151,3102,13,62,25,209,389,5253,6331,2056,389,978
05000US01033,"Colbert County, Alabama",54377,54377,91.75696,623.5197,592.6199,30.89978,6344,225,73,58,1795,1344,4080,570,2919,1311,1280,4385,1957,3569,2085,45,2151,219,232,8353,2804,34,12,0,182,478,4932,4194,700,88,921
05000US01035,"Conecuh County, Alabama",12697,12697,14.93489,852.7219,850.1568,2.565062,1812,9,0,34,974,276,683,101,585,278,116,679,268,449,328,26,820,28,86,1057,1360,0,0,16,24,144,2413,821,30,5,288
05000US01037,"Coosa County, Alabama",10864,10864,16.69006,666.3499,650.9264,15.42346,2140,31,31,36,539,215,761,69,269,429,167,700,294,669,278,0,408,26,44,1595,421,19,0,0,76,69,1321,893,0,44,239
05000US01039,"Covington County, Alabama",37729,37729,36.61388,1043.787,1030.456,13.33086,5051,51,43,142,1723,1144,2228,334,1607,1183,590,2561,802,2145,1275,36,1596,234,132,5328,2373,36,21,29,145,733,4617,3082,460,14,685
05000US01041,"Crenshaw County, Alabama",13896,13896,22.82374,610.9156,608.8398,2.075836,2071,15,7,70,452,431,1112,244,632,258,282,1109,191,1070,525,22,576,91,119,1653,664,6,0,0,87,113,1549,903,224,25,280
05000US01043,"Cullman County, Alabama",81316,81316,110.6494,755.0211,734.8978,20.12325,10050,196,69,189,2081,2809,5325,886,4666,1619,1455,6778,2166,3917,3107,150,3115,573,417,12900,3812,39,8,24,409,703,11704,5517,581,108,1186
05000US01045,"Dale County, Alabama",49607,49607,88.40614,562.677,561.1262,1.550763,4726,84,45,146,2145,1053,2161,395,2883,1844,712,3354,1726,3539,1339,19,2023,348,232,6480,3354,102,12,34,535,233,6130,6331,3965,179,666
05000US01047,"Dallas County, Alabama",41426,41426,42.32781,993.8046,978.6946,15.11003,5673,83,44,99,2517,863,2995,189,1688,594,505,3389,941,2264,1284,48,3258,287,374,4419,5816,39,0,46,281,317,5141,2221,527,83,1060
